taxid,name,nametype,rank
3206,Lophocolea,scientific name,genus
3212,Polytrichum,scientific name,genus
3217,Physcomitrella,scientific name,genus
3221,Dicranum,scientific name,genus
3224,Ceratodon,scientific name,genus
3228,Mnium,scientific name,genus
3230,Plagiomnium,scientific name,genus
3233,Anthoceros,scientific name,genus
3239,Psilotum,scientific name,genus
3246,Selaginella,scientific name,genus
3251,Lycopodium,scientific name,genus
3257,Equisetum,scientific name,genus
3266,Angiopteris,scientific name,genus
3270,Dicksonia,scientific name,genus
3273,Gleichenia,scientific name,genus
3276,Matteuccia,scientific name,genus
3278,Polystichum,scientific name,genus
3280,Onoclea,scientific name,genus
3283,Osmunda,scientific name,genus
3287,Dryopteris,scientific name,genus
3299,Encephalartos,scientific name,genus
3303,Zamia,scientific name,genus
3310,Ginkgo,scientific name,genus
3315,Thuja,scientific name,genus
3319,Abies,scientific name,genus
3321,Cedrus,scientific name,genus
3323,Keteleeria,scientific name,genus
3325,Larix,scientific name,genus
3328,Picea,scientific name,genus
3337,Pinus,scientific name,genus
3354,Pseudolarix,scientific name,genus
3356,Pseudotsuga,scientific name,genus
3358,Tsuga,scientific name,genus
3363,Podocarpus,scientific name,genus
3368,Cryptomeria,scientific name,genus
3370,Metasequoia,scientific name,genus
3376,Welwitschia,scientific name,genus
3380,Gnetum,scientific name,genus
3387,Ephedra,scientific name,genus
3395,Cycas,scientific name,genus
3402,Magnolia,scientific name,genus
3413,Liriodendron,scientific name,genus
3418,Drimys,scientific name,genus
3421,Tasmannia,scientific name,genus
3425,Canella,scientific name,genus
3428,Calycanthus,scientific name,genus
3434,Persea,scientific name,genus
3437,Umbellularia,scientific name,genus
3441,Coptis,scientific name,genus
3443,Nigella,scientific name,genus
3445,Ranunculus,scientific name,genus
3448,Caltha,scientific name,genus
3450,Aquilegia,scientific name,genus
3452,Clematis,scientific name,genus
3456,Dioscoreophyllum,scientific name,genus
3459,Coriaria,scientific name,genus
3463,Corydalis,scientific name,genus
3466,Eschscholzia,scientific name,genus
3468,Papaver,scientific name,genus
3471,Sanguinaria,scientific name,genus
3475,Parasponia,scientific name,genus
3479,Trema,scientific name,genus
3482,Cannabis,scientific name,genus
3484,Humulus,scientific name,genus
3488,Artocarpus,scientific name,genus
3493,Ficus,scientific name,genus
3495,Maclura,scientific name,genus
3497,Morus,scientific name,genus
3500,Urtica,scientific name,genus
3504,Betula,scientific name,genus
3509,Myrica,scientific name,genus
3511,Quercus,scientific name,genus
3515,Alnus,scientific name,genus
3521,Casuarina,scientific name,genus
3526,Phytolacca,scientific name,genus
3529,Gisekia,scientific name,genus
3532,Rivina,scientific name,genus
3534,Stegnosperma,scientific name,genus
3537,Mirabilis,scientific name,genus
3540,Bougainvillea,scientific name,genus
3543,Mesembryanthemum,scientific name,genus
3545,Lithops,scientific name,genus
3547,Trianthema,scientific name,genus
3550,Atriplex,scientific name,genus
3554,Beta,scientific name,genus
3558,Chenopodium,scientific name,genus
3561,Spinacia,scientific name,genus
3564,Amaranthus,scientific name,genus
3569,Dianthus,scientific name,genus
3571,Saponaria,scientific name,genus
3573,Silene,scientific name,genus
3577,Arenaria,scientific name,genus
3579,Cerastium,scientific name,genus
3582,Portulaca,scientific name,genus
3585,Alluaudia,scientific name,genus
3588,Basella,scientific name,genus
3591,Mollugo,scientific name,genus
3594,Schlumbergera,scientific name,genus
3596,Pereskia,scientific name,genus
3599,Phaulothamnus,scientific name,genus
3603,Vitis,scientific name,genus
3606,Parthenocissus,scientific name,genus
3609,Rhamnus,scientific name,genus
3612,Colletia,scientific name,genus
3616,Fagopyrum,scientific name,genus
3618,Rumex,scientific name,genus
3620,Rheum,scientific name,genus
3624,Actinidia,scientific name,genus
3630,Abutilon,scientific name,genus
3633,Gossypium,scientific name,genus
3637,Thespesia,scientific name,genus
3640,Theobroma,scientific name,genus
3644,Bertholletia,scientific name,genus
3648,Carica,scientific name,genus
3651,Bryonia,scientific name,genus
3653,Citrullus,scientific name,genus
3655,Cucumis,scientific name,genus
3660,Cucurbita,scientific name,genus
3667,Lagenaria,scientific name,genus
3669,Luffa,scientific name,genus
3671,Momordica,scientific name,genus
3676,Trichosanthes,scientific name,genus
3678,Ecballium,scientific name,genus
3681,Begonia,scientific name,genus
3684,Passiflora,scientific name,genus
3689,Populus,scientific name,genus
3701,Arabidopsis,scientific name,genus
3703,Armoracia,scientific name,genus
3705,Brassica,scientific name,genus
3718,Capsella,scientific name,genus
3720,Crambe,scientific name,genus
3723,Matthiola,scientific name,genus
3725,Raphanus,scientific name,genus
3727,Sinapis,scientific name,genus
3729,Sisymbrium,scientific name,genus
3731,Diplotaxis,scientific name,genus
3734,Moringa,scientific name,genus
3740,Manilkara,scientific name,genus
3746,Fragaria,scientific name,genus
3749,Malus,scientific name,genus
3754,Prunus,scientific name,genus
3761,Geum,scientific name,genus
3764,Rosa,scientific name,genus
3766,Pyrus,scientific name,genus
3769,Byblis,scientific name,genus
3771,Roridula,scientific name,genus
3774,Cephalotus,scientific name,genus
3777,Ceratopetalum,scientific name,genus
3779,Weinmannia,scientific name,genus
3782,Crassula,scientific name,genus
3784,Sedum,scientific name,genus
3786,Pachyphytum,scientific name,genus
3790,Eucryphia,scientific name,genus
3794,Heuchera,scientific name,genus
3796,Parnassia,scientific name,genus
3798,Saxifraga,scientific name,genus
3801,Ribes,scientific name,genus
3805,Bauhinia,scientific name,genus
3808,Acacia,scientific name,genus
3810,Adenanthera,scientific name,genus
3812,Albizia,scientific name,genus
3815,Abrus,scientific name,genus
3817,Arachis,scientific name,genus
3820,Cajanus,scientific name,genus
3822,Canavalia,scientific name,genus
3826,Cicer,scientific name,genus
3828,Crotalaria,scientific name,genus
3831,Cyamopsis,scientific name,genus
3833,Cytisus,scientific name,genus
3836,Dioclea,scientific name,genus
3839,Dolichos,scientific name,genus
3841,Erythrina,scientific name,genus
3846,Glycine,scientific name,genus
3849,Griffonia,scientific name,genus
3851,Laburnum,scientific name,genus
3853,Lathyrus,scientific name,genus
3863,Lens,scientific name,genus
3865,Leucaena,scientific name,genus
3867,Lotus,scientific name,genus
3869,Lupinus,scientific name,genus
3875,Macrotyloma,scientific name,genus
3877,Medicago,scientific name,genus
3881,Onobrychis,scientific name,genus
3883,Phaseolus,scientific name,genus
3887,Pisum,scientific name,genus
3889,Psophocarpus,scientific name,genus
3892,Pueraria,scientific name,genus
3894,Sesbania,scientific name,genus
3896,Sophora,scientific name,genus
3898,Trifolium,scientific name,genus
3901,Ulex,scientific name,genus
3904,Vicia,scientific name,genus
3913,Vigna,scientific name,genus
3921,Wisteria,scientific name,genus
3925,Lonchocarpus,scientific name,genus
3929,Cuphea,scientific name,genus
3932,Eucalyptus,scientific name,genus
3935,Clarkia,scientific name,genus
3939,Oenothera,scientific name,genus
3955,Quisqualis,scientific name,genus
3959,Pyrularia,scientific name,genus
3961,Buckleya,scientific name,genus
3964,Dendrophthora,scientific name,genus
3967,Phoradendron,scientific name,genus
3971,Viscum,scientific name,genus
3974,Schoepfia,scientific name,genus
3978,Gelonium,scientific name,genus
3980,Hevea,scientific name,genus
3982,Manihot,scientific name,genus
3984,Mercurialis,scientific name,genus
3987,Ricinus,scientific name,genus
3990,Euphorbia,scientific name,genus
3995,Jatropha,scientific name,genus
3998,Simmondsia,scientific name,genus
4001,Buxus,scientific name,genus
4005,Linum,scientific name,genus
4008,Humiria,scientific name,genus
4012,Rhus,scientific name,genus
4015,Bursera,scientific name,genus
4019,Tropaeolum,scientific name,genus
4022,Acer,scientific name,genus
4028,Geranium,scientific name,genus
4030,Pelargonium,scientific name,genus
4034,Oxalis,scientific name,genus
4038,Daucus,scientific name,genus
4040,Pastinaca,scientific name,genus
4042,Petroselinum,scientific name,genus
4044,Apium,scientific name,genus
4046,Coriandrum,scientific name,genus
4048,Hydrocotyle,scientific name,genus
4051,Hedera,scientific name,genus
4053,Panax,scientific name,genus
4057,Catharanthus,scientific name,genus
4059,Rauvolfia,scientific name,genus
4065,Calotropis,scientific name,genus
4067,Gymnema,scientific name,genus
4071,Capsicum,scientific name,genus
4074,Datura,scientific name,genus
4078,Hyoscyamus,scientific name,genus
4085,Nicotiana,scientific name,genus
4101,Petunia,scientific name,genus
4107,Solanum,scientific name,genus
4119,Ipomoea,scientific name,genus
4122,Convolvulus,scientific name,genus
4128,Cuscuta,scientific name,genus
4131,Eriodictyon,scientific name,genus
4133,Hydrophyllum,scientific name,genus
4137,Leonurus,scientific name,genus
4139,Scutellaria,scientific name,genus
4145,Olea,scientific name,genus
4147,Jasminum,scientific name,genus
4150,Antirrhinum,scientific name,genus
4152,Craterostigma,scientific name,genus
4154,Mimulus,scientific name,genus
4163,Digitalis,scientific name,genus
4165,Cymbalaria,scientific name,genus
4167,Lamourouxia,scientific name,genus
4169,Striga,scientific name,genus
4173,Veronica,scientific name,genus
4176,Epifagus,scientific name,genus
4178,Conopholis,scientific name,genus
4181,Sesamum,scientific name,genus
4183,Harpagophytum,scientific name,genus
4186,Aphelandra,scientific name,genus
4188,Barleria,scientific name,genus
4190,Justicia,scientific name,genus
4192,Nelsonia,scientific name,genus
4194,Ruttya,scientific name,genus
4197,Pinguicula,scientific name,genus
4201,Sambucus,scientific name,genus
4204,Viburnum,scientific name,genus
4207,Adoxa,scientific name,genus
4211,Ambrosia,scientific name,genus
4216,Arctium,scientific name,genus
4219,Artemisia,scientific name,genus
4221,Carthamus,scientific name,genus
4223,Flaveria,scientific name,genus
4229,Guizotia,scientific name,genus
4231,Helianthus,scientific name,genus
4235,Lactuca,scientific name,genus
4237,Barnadesia,scientific name,genus
4239,Ligularia,scientific name,genus
4242,Adenothamnus,scientific name,genus
4244,Argyroxiphium,scientific name,genus
4246,Arnica,scientific name,genus
4248,Dubautia,scientific name,genus
4251,Hulsea,scientific name,genus
4253,Madia,scientific name,genus
4257,Raillardella,scientific name,genus
4262,Wilkesia,scientific name,genus
4264,Cynara,scientific name,genus
4269,Byrsonima,scientific name,genus
4272,Platytheca,scientific name,genus
4275,Polygala,scientific name,genus
4277,Securidaca,scientific name,genus
4281,Cornus,scientific name,genus
4287,Garrya,scientific name,genus
4290,Nyssa,scientific name,genus
4295,Ilex,scientific name,genus
4301,Nemopanthus,scientific name,genus
4303,Phelline,scientific name,genus
4306,Euonymus,scientific name,genus
4311,Corynocarpus,scientific name,genus
4314,Dichapetalum,scientific name,genus
4317,Hippocratea,scientific name,genus
4319,Salacia,scientific name,genus
4322,Icacina,scientific name,genus
4325,Salvadora,scientific name,genus
4329,Macadamia,scientific name,genus
4331,Protea,scientific name,genus
4336,Anagallis,scientific name,genus
4340,Cyrilla,scientific name,genus
4343,Epacris,scientific name,genus
4346,Rhododendron,scientific name,genus
4348,Pterospora,scientific name,genus
4350,Sarcodes,scientific name,genus
4354,Darlingtonia,scientific name,genus
4356,Heliamphora,scientific name,genus
4358,Sarracenia,scientific name,genus
4361,Dionaea,scientific name,genus
4363,Drosera,scientific name,genus
4372,Drosophyllum,scientific name,genus
4375,Nepenthes,scientific name,genus
4377,Dillenia,scientific name,genus
4382,Lobelia,scientific name,genus
4387,Daphniphyllum,scientific name,genus
4391,Eucommia,scientific name,genus
4395,Hamamelis,scientific name,genus
4398,Liquidambar,scientific name,genus
4402,Platanus,scientific name,genus
4406,Trochodendron,scientific name,genus
4411,Barclaya,scientific name,genus
