NODE_5_length_19218_cov_10.325950	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_91_length_6491_cov_5.677424	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_99_length_6321_cov_6.229821	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_104_length_6218_cov_6.150790	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_105_length_6138_cov_8.371886	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_125_length_5643_cov_6.480956	#159153#1513187#10806#40120#10780#29258#10239#1#1#1#1#1#1#   
NODE_127_length_5632_cov_7.808821	#363628#687329#29258#10239#1#1#1#1#1#1#1#1#1#   
NODE_131_length_5580_cov_10.103398	#228277#11827#206037#35276#11632#35268#10239#1#1#1#1#1#1#   
NODE_145_length_5359_cov_7.443393	#1859149#1535289#687332#687329#29258#10239#1#1#1#1#1#1#1#   
NODE_150_length_5307_cov_4.290440	#10786#1511906#1506574#40119#10780#29258#10239#1#1#1#1#1#1#   
NODE_157_length_5244_cov_3.709890	#10788#10786#1511906#1506574#40119#10780#29258#10239#1#1#1#1#1#   
NODE_160_length_5187_cov_3.934638	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_169_length_5032_cov_5.016751	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_182_length_4852_cov_4.908482	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_199_length_4565_cov_3.950089	#817#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#   
NODE_203_length_4515_cov_3.661109	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_207_length_4482_cov_4.179342	#171549#200643#976#68336#1783270#2#131567#1#1#1#1#1#1#   
NODE_212_length_4454_cov_4.024446	#171549#200643#976#68336#1783270#2#131567#1#1#1#1#1#1#   
NODE_218_length_4357_cov_6.166355	#665938#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#   
NODE_223_length_4256_cov_3.845896	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_224_length_4252_cov_5.836886	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_232_length_4172_cov_4.262759	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_241_length_4092_cov_5.288667	#817#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#   
NODE_277_length_3791_cov_4.661012	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_295_length_3628_cov_4.539566	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_297_length_3622_cov_5.670804	#976#68336#1783270#2#131567#1#1#1#1#1#1#1#1#
NODE_302_length_3559_cov_3.960368	#976#68336#1783270#2#131567#1#1#1#1#1#1#1#1#
NODE_308_length_3528_cov_4.700666	#1351#1350#81852#186826#91061#1239#1783272#2#131567#1#1#1#1#   
NODE_338_length_3369_cov_4.057716	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_351_length_3273_cov_3.354506	#11786#353210#353212#153135#327045#11632#35268#10239#1#1#1#1#1#   
NODE_3_length_19734_cov_16.041054	#9483#1965096#9481#9480#9498#9479#314293#376913#9443#314146#1437010#9347#32525#   
NODE_295_length_3681_cov_4.5395661	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   
NODE_297_length_3621_cov_5.6708041	#817#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#   
NODE_302_length_3552_cov_3.9603681	#171549#200643#976#68336#1783270#2#131567#1#1#1#1#1#1#   
NODE_308_length_3528_cov_4.7006661	#1351#1350#81852#186826#91061#1239#1783272#2#131567#1#1#1#1#   
NODE_338_length_3389_cov_4.0577161	#12402#196896#10662#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_295_length_36211_cov_4.5395661	#12402#196896#10662#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_297_length_3524_cov_5.6708041	#10662#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_302_length_3422_cov_3.9603681	#171549#200643#976#68336#1783270#2#131567#1#1#1#1#1#1#   
NODE_308_length_33432_cov_4.7006661	#1351#1350#81852#186826#91061#1239#1783272#2#131567#1#1#1#1#   
NODE_338_length_3355_cov_4.0577161	#816#815#171549#200643#976#68336#1783270#2#131567#1#1#1#1#   

