taxid,name,nametype,rank
3379,Gnetaceae,scientific name,family
3386,Ephedraceae,scientific name,family
3394,Cycadaceae,scientific name,family
3401,Magnoliaceae,scientific name,family
3417,Winteraceae,scientific name,family
3424,Canellaceae,scientific name,family
3427,Calycanthaceae,scientific name,family
3433,Lauraceae,scientific name,family
3440,Ranunculaceae,scientific name,family
3455,Menispermaceae,scientific name,family
3458,Coriariaceae,scientific name,family
3465,Papaveraceae,scientific name,family
3474,Ulmaceae,scientific name,family
3481,Cannabaceae,scientific name,family
3487,Moraceae,scientific name,family
3499,Urticaceae,scientific name,family
3503,Fagaceae,scientific name,family
3514,Betulaceae,scientific name,family
3520,Casuarinaceae,scientific name,family
3525,Phytolaccaceae,scientific name,family
3536,Nyctaginaceae,scientific name,family
3542,Aizoaceae,scientific name,family
3563,Amaranthaceae,scientific name,family
3568,Caryophyllaceae,scientific name,family
3581,Portulacaceae,scientific name,family
3584,Didiereaceae,scientific name,family
3587,Basellaceae,scientific name,family
3590,Molluginaceae,scientific name,family
3593,Cactaceae,scientific name,family
3602,Vitaceae,scientific name,family
3608,Rhamnaceae,scientific name,family
3615,Polygonaceae,scientific name,family
3623,Actinidiaceae,scientific name,family
3629,Malvaceae,scientific name,family
3642,Lecythidaceae,scientific name,family
3647,Caricaceae,scientific name,family
3650,Cucurbitaceae,scientific name,family
3680,Begoniaceae,scientific name,family
3683,Passifloraceae,scientific name,family
3688,Salicaceae,scientific name,family
3700,Brassicaceae,scientific name,family
3733,Moringaceae,scientific name,family
3737,Sapotaceae,scientific name,family
3745,Rosaceae,scientific name,family
3773,Cephalotaceae,scientific name,family
3776,Cunoniaceae,scientific name,family
3781,Crassulaceae,scientific name,family
3792,Saxifragaceae,scientific name,family
3803,Fabaceae,scientific name,family
3928,Lythraceae,scientific name,family
3931,Myrtaceae,scientific name,family
3934,Onagraceae,scientific name,family
3954,Combretaceae,scientific name,family
3958,Santalaceae,scientific name,family
3963,Loranthaceae,scientific name,family
3973,Olacaceae,scientific name,family
3977,Euphorbiaceae,scientific name,family
3997,Simmondsiaceae,scientific name,family
4000,Buxaceae,scientific name,family
4004,Linaceae,scientific name,family
4007,Humiriaceae,scientific name,family
4011,Anacardiaceae,scientific name,family
4014,Burseraceae,scientific name,family
4018,Tropaeolaceae,scientific name,family
4027,Geraniaceae,scientific name,family
4033,Oxalidaceae,scientific name,family
4037,Apiaceae,scientific name,family
4050,Araliaceae,scientific name,family
4056,Apocynaceae,scientific name,family
4070,Solanaceae,scientific name,family
4118,Convolvulaceae,scientific name,family
4130,Hydrophyllaceae,scientific name,family
4136,Lamiaceae,scientific name,family
4144,Oleaceae,scientific name,family
4149,Scrophulariaceae,scientific name,family
4180,Pedaliaceae,scientific name,family
4185,Acanthaceae,scientific name,family
4196,Lentibulariaceae,scientific name,family
4200,Caprifoliaceae,scientific name,family
4206,Adoxaceae,scientific name,family
4210,Asteraceae,scientific name,family
4268,Malpighiaceae,scientific name,family
4274,Polygalaceae,scientific name,family
4286,Garryaceae,scientific name,family
4289,Nyssaceae,scientific name,family
4294,Aquifoliaceae,scientific name,family
4305,Celastraceae,scientific name,family
4310,Corynocarpaceae,scientific name,family
4313,Dichapetalaceae,scientific name,family
4321,Icacinaceae,scientific name,family
4324,Salvadoraceae,scientific name,family
4328,Proteaceae,scientific name,family
4335,Primulaceae,scientific name,family
4339,Cyrillaceae,scientific name,family
4345,Ericaceae,scientific name,family
4353,Sarraceniaceae,scientific name,family
4360,Droseraceae,scientific name,family
4374,Nepenthaceae,scientific name,family
4381,Campanulaceae,scientific name,family
4386,Daphniphyllaceae,scientific name,family
4390,Eucommiaceae,scientific name,family
4401,Platanaceae,scientific name,family
4405,Trochodendraceae,scientific name,family
4410,Nymphaeaceae,scientific name,family
4422,Cabombaceae,scientific name,family
4429,Nelumbonaceae,scientific name,family
4434,Bataceae,scientific name,family
4437,Plumbaginaceae,scientific name,family
4449,Alismataceae,scientific name,family
4454,Araceae,scientific name,family
4479,Poaceae,scientific name,family
4609,Cyperaceae,scientific name,family
4613,Bromeliaceae,scientific name,family
4619,Marantaceae,scientific name,family
4626,Cannaceae,scientific name,family
4630,Costaceae,scientific name,family
4637,Musaceae,scientific name,family
4642,Zingiberaceae,scientific name,family
4652,Heliconiaceae,scientific name,family
4656,Lowiaceae,scientific name,family
4660,Strelitziaceae,scientific name,family
4668,Amaryllidaceae,scientific name,family
4671,Dioscoreaceae,scientific name,family
4674,Hypoxidaceae,scientific name,family
4677,Liliaceae,scientific name,family
4703,Smilacaceae,scientific name,family
4710,Arecaceae,scientific name,family
4724,Pandanaceae,scientific name,family
4731,Typhaceae,scientific name,family
4736,Joinvilleaceae,scientific name,family
4740,Commelinaceae,scientific name,family
4747,Orchidaceae,scientific name,family
4764,Saprolegniaceae,scientific name,family
4777,Peronosporaceae,scientific name,family
4782,Pythiaceae,scientific name,family
4801,Lagenidiaceae,scientific name,family
4806,Blastocladiaceae,scientific name,family
4812,Chytridiaceae,scientific name,family
4851,Cunninghamellaceae,scientific name,family
4854,Mortierellaceae,scientific name,family
4858,Basidiobolaceae,scientific name,family
4862,Kickxellaceae,scientific name,family
4870,Endogonaceae,scientific name,family
4883,Legeriomycetaceae,scientific name,family
4893,Saccharomycetaceae,scientific name,family
4894,Schizosaccharomycetaceae,scientific name,family
5009,Taphrinaceae,scientific name,family
5020,Phaeosphaeriaceae,scientific name,family
5023,Venturiaceae,scientific name,family
5103,Ascosphaeraceae,scientific name,family
5117,Valsaceae,scientific name,family
5129,Hypocreaceae,scientific name,family
5136,Phyllachoraceae,scientific name,family
5148,Sordariaceae,scientific name,family
5152,Ophiostomataceae,scientific name,family
5181,Helotiaceae,scientific name,family
5186,Pezizaceae,scientific name,family
5189,Ascobolaceae,scientific name,family
5192,Morchellaceae,scientific name,family
5198,Cladoniaceae,scientific name,family
5215,Tremellaceae,scientific name,family
5222,Phleogenaceae,scientific name,family
5227,Auriculariaceae,scientific name,family
5237,Tulasnellaceae,scientific name,family
5245,Septobasidiaceae,scientific name,family
5250,Ceratobasidiaceae,scientific name,family
5254,Dacrymycetaceae,scientific name,family
5259,Melampsoraceae,scientific name,family
5262,Pucciniaceae,scientific name,family
5268,Ustilaginaceae,scientific name,family
5274,Graphiolaceae,scientific name,family
5279,Tilletiaceae,scientific name,family
5304,Corticiaceae,scientific name,family
5317,Polyporaceae,scientific name,family
5332,Schizophyllaceae,scientific name,family
5339,Agaricaceae,scientific name,family
5351,Tricholomataceae,scientific name,family
5368,Boletaceae,scientific name,family
5389,Gomphidiaceae,scientific name,family
5394,Paxillaceae,scientific name,family
5398,Bolbitiaceae,scientific name,family
5401,Russulaceae,scientific name,family
5405,Exobasidiaceae,scientific name,family
5408,Filobasidiaceae,scientific name,family
5426,Lycoperdaceae,scientific name,family
5593,Microascaceae,scientific name,family
5654,Trypanosomatidae,scientific name,family
5708,Bodonidae,scientific name,family
5739,Hexamitidae,scientific name,family
5765,Vahlkampfiidae,scientific name,family
5776,Hartmannellidae,scientific name,family
5799,Eimeriidae,scientific name,family
5809,Sarcocystidae,scientific name,family
5972,Halteriidae,scientific name,family
5978,Colpodidae,scientific name,family
5985,Isotrichidae,scientific name,family
6002,Colepidae,scientific name,family
6037,Burenellidae,scientific name,family
6045,Geodiidae,scientific name,family
6050,Spongillidae,scientific name,family
6056,Chalinidae,scientific name,family
6060,Halichondriidae,scientific name,family
6077,Corynidae,scientific name,family
6080,Hydridae,scientific name,family
6089,Polyorchidae,scientific name,family
6094,Hydractiniidae,scientific name,family
6098,Campanulinidae,scientific name,family
6126,Acroporidae,scientific name,family
6139,Carybdeidae,scientific name,family
6146,Pelagiidae,scientific name,family
6166,Planoceridae,scientific name,family
6170,Prorhynchidae,scientific name,family
6196,Opisthorchiidae,scientific name,family
6208,Taeniidae,scientific name,family
6214,Hymenolepididae,scientific name,family
6222,Lineidae,scientific name,family
6228,Emplectonematidae,scientific name,family
6243,Rhabditidae,scientific name,family
6246,Strongyloididae,scientific name,family
6250,Ascarididae,scientific name,family
6267,Anisakidae,scientific name,family
6296,Onchocercidae,scientific name,family
6301,Heteroderidae,scientific name,family
6315,Trichostrongylidae,scientific name,family
6332,Trichinellidae,scientific name,family
6366,Sabellidae,scientific name,family
6374,Ampharetidae,scientific name,family
6378,Chaetopteridae,scientific name,family
6388,Enchytraeidae,scientific name,family
6392,Lumbricidae,scientific name,family
6400,Megascolecidae,scientific name,family
6407,Glossiphoniidae,scientific name,family
6417,Hirudinidae,scientific name,family
6429,Urechidae,scientific name,family
6434,Golfingiidae,scientific name,family
6440,Sipunculidae,scientific name,family
6451,Haliotidae,scientific name,family
6462,Patellidae,scientific name,family
6466,Trochidae,scientific name,family
6470,Potamididae,scientific name,family
6476,Bithyniidae,scientific name,family
6480,Melongenidae,scientific name,family
6483,Nassariidae,scientific name,family
6486,Fasciolariidae,scientific name,family
6489,Conidae,scientific name,family
6498,Aplysiidae,scientific name,family
6515,Discodorididae,scientific name,family
6521,Lymnaeidae,scientific name,family
6524,Planorbidae,scientific name,family
6528,Achatinidae,scientific name,family
6533,Helicidae,scientific name,family
6540,Arionidae,scientific name,family
6547,Mytilidae,scientific name,family
6553,Arcidae,scientific name,family
6563,Ostreidae,scientific name,family
6566,Pectinidae,scientific name,family
6581,Mactridae,scientific name,family
6585,Solenidae,scientific name,family
6588,Vesicomyidae,scientific name,family
6592,Veneridae,scientific name,family
6602,Myidae,scientific name,family
6608,Sepiidae,scientific name,family
6615,Loliginidae,scientific name,family
6623,Enoploteuthidae,scientific name,family
6626,Ommastrephidae,scientific name,family
6647,Octopodidae,scientific name,family
6653,Acanthochitonidae,scientific name,family
6672,Cypridinidae,scientific name,family
6685,Penaeidae,scientific name,family
6695,Palaemonidae,scientific name,family
6701,Pandalidae,scientific name,family
6704,Nephropidae,scientific name,family
6709,Procarididae,scientific name,family
6713,Astacidae,scientific name,family
6725,Cambaridae,scientific name,family
6731,Palinuridae,scientific name,family
6739,Lithodidae,scientific name,family
6745,Paguridae,scientific name,family
6749,Diogenidae,scientific name,family
6753,Cancridae,scientific name,family
6757,Portunidae,scientific name,family
6764,Gecarcinidae,scientific name,family
6770,Ocypodidae,scientific name,family
6775,Geryonidae,scientific name,family
6779,Xanthidae,scientific name,family
6784,Dromiidae,scientific name,family
6790,Raninidae,scientific name,family
6797,Calappidae,scientific name,family
6800,Leucosiidae,scientific name,family
6805,Majidae,scientific name,family
6809,Parthenopidae,scientific name,family
6813,Stenopodidae,scientific name,family
6817,Euphausiidae,scientific name,family
6825,Parascelidae,scientific name,family
6835,Calanidae,scientific name,family
6840,Argulidae,scientific name,family
6846,Limulidae,scientific name,family
6856,Buthidae,scientific name,family
6888,Scorpionidae,scientific name,family
6895,Theraphosidae,scientific name,family
6901,Hexathelidae,scientific name,family
6906,Agelenidae,scientific name,family
6913,Araneidae,scientific name,family
6916,Ctenidae,scientific name,family
6919,Sicariidae,scientific name,family
6930,Pholcidae,scientific name,family
6936,Argasidae,scientific name,family
6939,Ixodidae,scientific name,family
6948,Pyemotidae,scientific name,family
6952,Pyroglyphidae,scientific name,family
6964,Libellulidae,scientific name,family
6974,Blattidae,scientific name,family
6979,Blaberidae,scientific name,family
6995,Gryllidae,scientific name,family
7002,Acrididae,scientific name,family
7033,Cicadidae,scientific name,family
7036,Aleyrodidae,scientific name,family
7042,Curculionidae,scientific name,family
7049,Lampyridae,scientific name,family
7055,Scarabaeidae,scientific name,family
7065,Tenebrionidae,scientific name,family
7080,Coccinellidae,scientific name,family
7089,Bombycidae,scientific name,family
7096,Lasiocampidae,scientific name,family
7100,Noctuidae,scientific name,family
7114,Pieridae,scientific name,family
7117,Saturniidae,scientific name,family
7128,Sphingidae,scientific name,family
7135,Pyralidae,scientific name,family
7139,Tortricidae,scientific name,family
7143,Papilionidae,scientific name,family
7149,Chironomidae,scientific name,family
7157,Culicidae,scientific name,family
7184,Sciaridae,scientific name,family
7190,Simuliidae,scientific name,family
7197,Psychodidae,scientific name,family
7205,Tabanidae,scientific name,family
7211,Tephritidae,scientific name,family
7214,Drosophilidae,scientific name,family
7366,Muscidae,scientific name,family
7371,Calliphoridae,scientific name,family
7381,Sarcophagidae,scientific name,family
7387,Oestridae,scientific name,family
7392,Glossinidae,scientific name,family
7402,Braconidae,scientific name,family
7408,Ichneumonidae,scientific name,family
7423,Pteromalidae,scientific name,family
7430,Eupelmidae,scientific name,family
7435,Scoliidae,scientific name,family
7438,Vespidae,scientific name,family
7458,Apidae,scientific name,family
7485,Sphecidae,scientific name,family
7489,Trichogrammatidae,scientific name,family
7501,Termopsidae,scientific name,family
7505,Mantidae,scientific name,family
7511,Pulicidae,scientific name,family
7520,Chrysopidae,scientific name,family
7527,Urostylididae,scientific name,family
7533,Lygaeidae,scientific name,family
7543,Cryptopidae,scientific name,family
7548,Lithobiidae,scientific name,family
7558,Spirobolidae,scientific name,family
7565,Porocephalidae,scientific name,family
7583,Mariametridae,scientific name,family
7592,Asterinidae,scientific name,family
7596,Solasteridae,scientific name,family
7600,Asteriidae,scientific name,family
7621,Ophiocomidae,scientific name,family
7630,Cidaridae,scientific name,family
7676,Echinidae,scientific name,family
7683,Holothuriidae,scientific name,family
7687,Stichopodidae,scientific name,family
7696,Caudinidae,scientific name,family
7702,Synaptidae,scientific name,family
7717,Cionidae,scientific name,family
7721,Styelidae,scientific name,family
7727,Pyuridae,scientific name,family
7736,Branchiostomidae,scientific name,family
7746,Petromyzontidae,scientific name,family
7762,Myxinidae,scientific name,family
7790,Heterodontidae,scientific name,family
7802,Odontaspididae,scientific name,family
7805,Carcharhinidae,scientific name,family
7826,Scyliorhinidae,scientific name,family
7832,Echinorhinidae,scientific name,family
7839,Triakidae,scientific name,family
7850,Alopiidae,scientific name,family
7855,Hexanchidae,scientific name,family
7860,Rhinobatidae,scientific name,family
7865,Callorhinchidae,scientific name,family
7869,Chimaeridae,scientific name,family
7880,Lepidosirenidae,scientific name,family
7884,Protopteridae,scientific name,family
7889,Ceratodontidae,scientific name,family
7895,Coelacanthidae,scientific name,family
7900,Acipenseridae,scientific name,family
7911,Polyodontidae,scientific name,family
7915,Lepisosteidae,scientific name,family
7922,Amiidae,scientific name,family
7926,Elopidae,scientific name,family
7930,Megalopidae,scientific name,family
7934,Anguillidae,scientific name,family
7941,Congridae,scientific name,family
7944,Muraenesocidae,scientific name,family
7953,Cyprinidae,scientific name,family
7968,Catostomidae,scientific name,family
7982,Cobitidae,scientific name,family
7986,Anostomidae,scientific name,family
7992,Characidae,scientific name,family
7996,Ictaluridae,scientific name,family
7999,Pangasiidae,scientific name,family
8008,Esocidae,scientific name,family
8012,Osmeridae,scientific name,family
8015,Salmonidae,scientific name,family
8045,Gadidae,scientific name,family
8061,Merlucciidae,scientific name,family
8065,Batrachoididae,scientific name,family
8071,Lophiidae,scientific name,family
8076,Cyprinodontidae,scientific name,family
8079,Poeciliidae,scientific name,family
8092,Cottidae,scientific name,family
8101,Cyclopteridae,scientific name,family
8108,Scorpaenidae,scientific name,family
8113,Cichlidae,scientific name,family
8157,Carangidae,scientific name,family
8162,Percichthyidae,scientific name,family
8165,Percidae,scientific name,family
8169,Sparidae,scientific name,family
8180,Centrarchidae,scientific name,family
8184,Centropomidae,scientific name,family
8189,Mugilidae,scientific name,family
8193,Zoarcidae,scientific name,family
8202,Anarhichadidae,scientific name,family
8206,Nototheniidae,scientific name,family
8214,Bathydraconidae,scientific name,family
8220,Gobiidae,scientific name,family
8224,Scombridae,scientific name,family
8243,Xiphiidae,scientific name,family
8247,Labridae,scientific name,family
8253,Bothidae,scientific name,family
8256,Pleuronectidae,scientific name,family
8274,Pantodontidae,scientific name,family
8279,Anomalopidae,scientific name,family
8289,Polypteridae,scientific name,family
8294,Ambystomatidae,scientific name,family
8310,Amphiumidae,scientific name,family
8314,Salamandridae,scientific name,family
8332,Plethodontidae,scientific name,family
8339,Sirenidae,scientific name,family
8343,Alytidae,scientific name,family
8352,Pipidae,scientific name,family
8365,Myobatrachidae,scientific name,family
8372,Leptodactylidae,scientific name,family
8382,Bufonidae,scientific name,family
8397,Ranidae,scientific name,family
8412,Hyperoliidae,scientific name,family
8418,Hylidae,scientific name,family
8423,Sooglossidae,scientific name,family
8427,Microhylidae,scientific name,family
8432,Pelobatidae,scientific name,family
8446,Caeciliidae,scientific name,family
8451,Ichthyophiidae,scientific name,family
8454,Typhlonectidae,scientific name,family
8461,Chelidae,scientific name,family
8465,Cheloniidae,scientific name,family
8473,Chelydridae,scientific name,family
8476,Emydidae,scientific name,family
8487,Testudinidae,scientific name,family
8493,Crocodylidae,scientific name,family
8506,Sphenodontidae,scientific name,family
8515,Iguanidae,scientific name,family
8522,Lacertidae,scientific name,family
8530,Teiidae,scientific name,family
8536,Xantusiidae,scientific name,family
8549,Helodermatidae,scientific name,family
8555,Varanidae,scientific name,family
8561,Gekkonidae,scientific name,family
8572,Boidae,scientific name,family
8578,Colubridae,scientific name,family
8602,Elapidae,scientific name,family
8689,Viperidae,scientific name,family
8785,Casuariidae,scientific name,family
8788,Dromaiidae,scientific name,family
8793,Rheidae,scientific name,family
8799,Struthionidae,scientific name,family
8803,Tinamidae,scientific name,family
8809,Emeidae,scientific name,family
8816,Dinornithidae,scientific name,family
8820,Apterygidae,scientific name,family
8827,Anhimidae,scientific name,family
8830,Anatidae,scientific name,family
8893,Apodidae,scientific name,family
8899,Ardeidae,scientific name,family
8903,Podargidae,scientific name,family
8907,Charadriidae,scientific name,family
8910,Laridae,scientific name,family
8917,Scolopacidae,scientific name,family
8922,Cathartidae,scientific name,family
8926,Ciconiidae,scientific name,family
8930,Columbidae,scientific name,family
8937,Alcedinidae,scientific name,family
8941,Cuculidae,scientific name,family
8949,Falconidae,scientific name,family
8977,Megapodiidae,scientific name,family
8982,Cracidae,scientific name,family
8990,Numididae,scientific name,family
9005,Phasianidae,scientific name,family
9109,Gruidae,scientific name,family
9119,Rallidae,scientific name,family
9127,Cotingidae,scientific name,family
9133,Fringillidae,scientific name,family
9136,Furnariidae,scientific name,family
9143,Corcoracidae,scientific name,family
9146,Meliphagidae,scientific name,family
9149,Paradisaeidae,scientific name,family
9153,Paridae,scientific name,family
9158,Passeridae,scientific name,family
9161,Pittidae,scientific name,family
9164,Ptilonorhynchidae,scientific name,family
9167,Rhinocryptidae,scientific name,family
9170,Sturnidae,scientific name,family
9173,Timaliidae,scientific name,family
9183,Turdidae,scientific name,family
9193,Laniidae,scientific name,family
9206,Phalacrocoracidae,scientific name,family
9211,Anhingidae,scientific name,family
9215,Phoenicopteridae,scientific name,family
9220,Picidae,scientific name,family
9224,Psittacidae,scientific name,family
9231,Spheniscidae,scientific name,family
9242,Trochilidae,scientific name,family
9246,Turnicidae,scientific name,family
9256,Ornithorhynchidae,scientific name,family
9259,Tachyglossidae,scientific name,family
9265,Didelphidae,scientific name,family
9273,Thylacinidae,scientific name,family
9277,Dasyuridae,scientific name,family
9307,Macropodidae,scientific name,family
9331,Petauridae,scientific name,family
9335,Phalangeridae,scientific name,family
9338,Vombatidae,scientific name,family
9342,Peramelidae,scientific name,family
9349,Myrmecophagidae,scientific name,family
9352,Bradypodidae,scientific name,family
9359,Dasypodidae,scientific name,family
9363,Erinaceidae,scientific name,family
9369,Tenrecidae,scientific name,family
9373,Talpidae,scientific name,family
9376,Soricidae,scientific name,family
9389,Chrysochloridae,scientific name,family
9393,Tupaiidae,scientific name,family
9398,Pteropodidae,scientific name,family
9409,Megadermatidae,scientific name,family
9415,Phyllostomidae,scientific name,family
9431,Vespertilionidae,scientific name,family
9436,Molossidae,scientific name,family
9445,Lemuridae,scientific name,family
9461,Lorisidae,scientific name,family
9475,Tarsiidae,scientific name,family
9498,Cebidae,scientific name,family
9527,Cercopithecidae,scientific name,family
9577,Hylobatidae,scientific name,family
9604,Hominidae,scientific name,family
9608,Canidae,scientific name,family
9632,Ursidae,scientific name,family
9647,Procyonidae,scientific name,family
9655,Mustelidae,scientific name,family
9673,Viverridae,scientific name,family
9676,Hyaenidae,scientific name,family
9681,Felidae,scientific name,family
9697,Herpestidae,scientific name,family
9702,Otariidae,scientific name,family
9705,Odobenidae,scientific name,family
9709,Phocidae,scientific name,family
9723,Platanistidae,scientific name,family
9726,Delphinidae,scientific name,family
9740,Phocoenidae,scientific name,family
9747,Monodontidae,scientific name,family
9750,Physeteridae,scientific name,family
9756,Ziphiidae,scientific name,family
9762,Eschrichtiidae,scientific name,family
9765,Balaenopteridae,scientific name,family
9775,Trichechidae,scientific name,family
9780,Elephantidae,scientific name,family
9788,Equidae,scientific name,family
9799,Tapiridae,scientific name,family
9803,Rhinocerotidae,scientific name,family
9811,Procaviidae,scientific name,family
9816,Orycteropodidae,scientific name,family
9821,Suidae,scientific name,family
9827,Tayassuidae,scientific name,family
9831,Hippopotamidae,scientific name,family
9835,Camelidae,scientific name,family
9846,Tragulidae,scientific name,family
9850,Cervidae,scientific name,family
9889,Antilocapridae,scientific name,family
9892,Giraffidae,scientific name,family
9895,Bovidae,scientific name,family
9972,Manidae,scientific name,family
9976,Ochotonidae,scientific name,family
9979,Leporidae,scientific name,family
10010,Geomyidae,scientific name,family
10015,Heteromyidae,scientific name,family
10021,Pedetidae,scientific name,family
10066,Muridae,scientific name,family
10135,Hystricidae,scientific name,family
10139,Caviidae,scientific name,family
10147,Hydrochaeridae,scientific name,family
10150,Chinchillidae,scientific name,family
10155,Myocastoridae,scientific name,family
10158,Octodontidae,scientific name,family
10161,Echimyidae,scientific name,family
10164,Ctenodactylidae,scientific name,family
10167,Bathyergidae,scientific name,family
10193,Brachionidae,scientific name,family
10210,Bugulidae,scientific name,family
10216,Dicyemidae,scientific name,family
10221,Harrimaniidae,scientific name,family
10235,Moniliformidae,scientific name,family
10240,Poxviridae,scientific name,family
10292,Herpesviridae,scientific name,family
10404,Hepadnaviridae,scientific name,family
10442,Baculoviridae,scientific name,family
10472,Plasmaviridae,scientific name,family
10474,Fuselloviridae,scientific name,family
10477,Lipothrixviridae,scientific name,family
10482,Polydnaviridae,scientific name,family
10486,Iridoviridae,scientific name,family
10501,Phycodnaviridae,scientific name,family
10508,Adenoviridae,scientific name,family
10656,Tectiviridae,scientific name,family
10659,Corticoviridae,scientific name,family
10662,Myoviridae,scientific name,family
10699,Siphoviridae,scientific name,family
10744,Podoviridae,scientific name,family
10780,Parvoviridae,scientific name,family
10811,Geminiviridae,scientific name,family
10841,Microviridae,scientific name,family
10860,Inoviridae,scientific name,family
10877,Cystoviridae,scientific name,family
10880,Reoviridae,scientific name,family
10993,Birnaviridae,scientific name,family
11006,Totiviridae,scientific name,family
11012,Partitiviridae,scientific name,family
11018,Togaviridae,scientific name,family
11050,Flaviviridae,scientific name,family
11118,Coronaviridae,scientific name,family
11158,Paramyxoviridae,scientific name,family
11244,Pneumoviridae,scientific name,family
11266,Filoviridae,scientific name,family
11270,Rhabdoviridae,scientific name,family
11308,Orthomyxoviridae,scientific name,family
11617,Arenaviridae,scientific name,family
11632,Retroviridae,scientific name,family
11974,Caliciviridae,scientific name,family
11989,Leviviridae,scientific name,family
12058,Picornaviridae,scientific name,family
12283,Nodaviridae,scientific name,family
13795,Andreaeaceae,scientific name,family
13799,Sematophyllaceae,scientific name,family
13803,Sphagnaceae,scientific name,family
13806,Lepidoziaceae,scientific name,family
13811,Anthocerotaceae,scientific name,family
13814,Marsileaceae,scientific name,family
13819,Pteridaceae,scientific name,family
13822,Schizaeaceae,scientific name,family
13828,Ophioglossaceae,scientific name,family
13837,Isoetaceae,scientific name,family
14081,Rapateaceae,scientific name,family
14101,Juncaceae,scientific name,family
14107,Restionaceae,scientific name,family
14146,Flagellariaceae,scientific name,family
